nume;artist;vizualizari;venituri;lansare;aparitie;durata;gen;tara;colab
IMY2 (with Kid Cudi);Drake;16808455; 84.042,28  USD ;21.09.2021;23.09.2021;3:12;HIP-HOP/RAP;Canada;Da
Off The Grid;Kanye West;16413179; 82.065,90  USD ;29.08.2021;23.09.2021;5:39;HIP-HOP/RAP;SUA;Nu
I WANNA BE YOUR SLAVE;Måneskin;16188501; 80.942,51  USD ;19.03.2021;23.09.2021;2:53;ROCK;Italia;Nu
Fountains (with Tems);Drake;16082820; 80.414,10  USD ;21.09.2021;23.09.2021;2:09;HIP-HOP/RAP;Canada;Da
Levitating (with DaBaby);Dua Lipa;16076912; 80.384,56  USD ;27.03.2020;23.09.2021;3:23;POP;Marea Britanie;Da
Take My Breath;The Weeknd;15826162; 79.130,81  USD ;06.08.2021;23.09.2021;3:40;R&B/SOUL;Canada;Nu
Yebbaâ€™s Heartbreak;Drake;15567041; 77.835,21  USD ;21.09.2021;23.09.2021;3:20;HIP-HOP/RAP;Canada;Nu
Qué Más Pues?;J Balvin;15558142; 77.790,71  USD ;28.05.2021;23.09.2021;3:37;LATIN URBAN;Columbia;Nu
traitor;Olivia Rodrigo;15470078; 77.350,39  USD ;21.05.2021;23.09.2021;3:49;POP;SUA;Nu
You Only Live Twice (with Lil Wayne & Rick Ross);Drake;15443086; 77.215,43  USD ;21.09.2021;23.09.2021;3:35;HIP-HOP/RAP;Canada;Da
Peaches (with Daniel Caesar & Giveon);Justin Bieber;14792207; 73.961,04  USD ;19.03.2021;23.09.2021;3:18;POP;Canada;Da
Get Along Better;Drake;13919809; 69.599,05  USD ;21.09.2021;23.09.2021;4:23;HIP-HOP/RAP;Canada;Nu
Moon;Kanye West;13386308; 66.931,54  USD ;29.08.2021;23.09.2021;2:36;HIP-HOP/RAP;SUA;Nu
Jail;Kanye West;13374077; 66.870,39  USD ;29.08.2021;23.09.2021;4:57;HIP-HOP/RAP;SUA;Nu
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;13283877; 66.419,39  USD ;20.03.2020;23.09.2021;3:35;R&B/SOUL;Canada;Da
Blinding Lights;The Weeknd;13282212; 66.411,06  USD ;29.11.2019;23.09.2021;3:21;R&B/SOUL;Canada;Nu
family ties (with Kendrick Lamar);Baby Keem;13255149; 66.275,75  USD ;27.08.2021;23.09.2021;4:12;HIP-HOP/RAP;SUA;Da
In Da Getto;J Balvin;13119628; 65.598,14  USD ;02.07.2021;23.09.2021;2:10;LATIN URBAN;Columbia;Nu
PariÌs;Ingratax;12879133; 64.395,67  USD ;21.09.2021;23.09.2021;3:09;ALTERNATIVE;Panama;Nu
F*****g Fans;Drake;12312466; 61.562,33  USD ;21.05.2021;23.09.2021;3:00;HIP-HOP/RAP;Canada;Nu
deja vu;Olivia Rodrigo;12024457; 60.122,29  USD ;21.05.2021;23.09.2021;3:35;POP;SUA;Nu
AM Remix;Nio Garcia;11869240; 59.346,20  USD ;24.06.2021;23.09.2021;4:21;LATIN URBAN;Puerto Rico;Nu
drivers license;Olivia Rodrigo;11862663; 59.313,32  USD ;08.01.2021;23.09.2021;4:02;POP;SUA;Nu
Volando - Remix;Mora;11808168; 59.040,84  USD ;08.07.2021;23.09.2021;4:33;LATIN;Puerto Rico;Nu
Cold Heart - PNAU Remix;Elton John;11486519; 57.432,60  USD ;13.08.2021;23.09.2021;3:22;POP;Marea Britanie;Nu
Butter;BTS;11376116; 56.880,58  USD ;21.05.2021;23.09.2021;2:44;K-POP;Korea de Sud;Nu
The Remorse;Drake;11368884; 56.844,42  USD ;04.04.2021;23.09.2021;3:21;HIP-HOP/RAP;Canada;Nu
2055;Sleepy Hallow;11335980; 56.679,90  USD ;14.04.2021;23.09.2021;2:03;HIP-HOP/RAP;Jamaica;Nu
Get Into It (Yuh);Doja Cat;11107366; 55.536,83  USD ;25.06.2021;23.09.2021;2:18;POP;SUA;Nu
Cúrame;Rauw Alejandro;11010014; 55.050,07  USD ;25.06.2021;23.09.2021;2:44;LATIN URBAN;Puerto Rico;Nu
Praise God;Kanye West;10880386; 54.401,93  USD ;29.08.2021;23.09.2021;3:46;HIP-HOP/RAP;SUA;Nu
Sobrio;Maluma;10588661; 52.943,31  USD ;08.07.2021;23.09.2021;3:21;LATIN URBAN;Columbia;Nu
Don't Be Shy;TiÃ«sto;10584248; 52.921,24  USD ;04.05.2021;23.09.2021;3:23;R&B/SOUL;Olanda;Nu
Entre Nosotros;Tiago PZK;10495538; 52.477,69  USD ;09.07.2021;23.09.2021;3:12;RHYTHM & BLUES;Argentina;Nu
Watermelon Sugar;Harry Styles;10166616; 50.833,08  USD ;13.12.2019;23.09.2021;2:53;POP;Marea Britanie;Nu
Leave The Door Open;Bruno Mars;10154618; 50.773,09  USD ;05.03.2021;23.09.2021;4:02;R&B/SOUL;Puerto Rico;Nu
Permission to Dance;BTS;9964824; 49.824,12  USD ;09.07.2021;23.09.2021;3:07;K-POP;Korea de Sud;Nu
happier;Olivia Rodrigo;9788170; 48.940,85  USD ;21.05.2021;23.09.2021;2:55;POP;SUA;Nu
Love Tonight - Edit;Shouse;9719423; 48.597,12  USD ;14.12.2017;23.09.2021;4:01;ELECTRONIC;Australia;Nu
Don't Go Yet;Camila Cabello;9546848; 47.734,24  USD ;23.07.2021;23.09.2021;2:44;POP;Cuba;Nu
Miénteme;TINI;9519785; 47.598,93  USD ;01.05.2021;23.09.2021;2:45;LATIN URBAN;Puerto Rico;Nu
Dákiti;Bad Bunny;9353064; 46.765,32  USD ;30.10.2020;23.09.2021;3:25;LATIN;Puerto Rico;Nu
Friday (with Mufasa & Hypeman) - Dopamine Re-Edit;Riton;9277029; 46.385,15  USD ;15.01.2021;23.09.2021;2:49;DANCE;Marea Britanie;Da
Mood (with iann dior);24kGoldn;9137061; 45.685,31  USD ;20.05.2021;23.09.2021;2:17;HIP-HOP/RAP;SUA;Da
Ain't Shit;Doja Cat;9093003; 45.465,02  USD ;25.06.2021;23.09.2021;2:54;POP;SUA;Nu
911 - Remix;Sech;8942549; 44.712,75  USD ;09.07.2021;23.09.2021;3:28;LATIN URBAN;Panama;Nu
Pareja Del AÃ±o;Sebastian Yatra;8936748; 44.683,74  USD ;11.02.2021;23.09.2021;4:57;LATIN URBAN;Columbia;Nu
Don't Shut Me Down;ABBA;8909165; 44.545,83  USD ;11.06.2021;23.09.2021;6:54;POP;Suedia;Nu
Like I Can;Sam Smith;8859678; 44.298,39  USD ;21.03.2021;23.09.2021;4:12;POP;Marea Britanie;Nu
Tiroteo - Remix;Marc SeguÃ­;8851356; 44.256,78  USD ;01.04.2021;23.09.2021;5:21;LATIN URBAN;Puerto Rico;Nu
Summer of Love (Shawn Mendes & Tainy);Shawn Mendes;8826147; 44.130,74  USD ;20.08.2021;23.09.2021;3:04;POP;Canada;Nu
Freaks;Surf Curse;8758620; 43.793,10  USD ;02.02.2021;23.09.2021;3:23;POP;SUA;Nu
Dark Red;Steve Lacy;8746127; 43.730,64  USD ;20.04.2021;23.09.2021;3:41;DANCE;SUA;Nu
Astronaut In The Ocean;Masked Wolf;8688742; 43.443,71  USD ;30.08.2021;23.09.2021;4:03;POP;Australia;Nu
Believe What I Say;Kanye West;8602816; 43.014,08  USD ;29.08.2021;23.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
Dynamite;BTS;8596692; 42.983,46  USD ;20.09.2021;23.09.2021;2:21;K-POP;Korea de Sud;Nu
OUT OUT (with Charli XCX & Saweetie);Joel Corry;8591860; 42.959,30  USD ;23.06.2021;23.09.2021;4:21;ROCK;Marea Britanie;Da
I GUESS I'M IN LOVE;Clinton Kane;8574019; 42.870,10  USD ;05.06.2021;23.09.2021;2:44;HIP-HOP/RAP;Norvegia;Nu
Sweater Weather;The Neighbourhood;8573802; 42.869,01  USD ;03.02.2021;23.09.2021;2:18;R&B/SOUL;SUA;Nu
jealousy, jealousy;Olivia Rodrigo;8492457; 42.462,29  USD ;21.05.2021;23.09.2021;2:53;POP;SUA;Nu
Leave Before You Love Me (with Jonas Brothers);Marshmello;8386443; 41.932,22  USD ;27.09.2021;23.09.2021;4:02;ROCK;SUA;Da
The Business;TiÃ«sto;8220494; 41.102,47  USD ;20.05.2021;23.09.2021;2:55;DANCE;Olanda;Nu
Meu PedaÃ§o de Pecado;JoÃ£o Gomes;8163156; 40.815,78  USD ;13.09.2021;23.09.2021;3:19;HIP-HOP/RAP;Brazilia;Nu
Someone You Loved;Lewis Capaldi;8159306; 40.796,53  USD ;30.06.2021;23.09.2021;3:28;HIP-HOP/RAP;Scoția;Nu
Don't Start Now;Dua Lipa;8140025; 40.700,13  USD ;21.02.2021;23.09.2021;2:49;K-POP;Marea Britanie;Nu
Life Goes On;Oliver Tree;8106553; 40.532,77  USD ;21.09.2021;23.09.2021;3:21;POP;SUA;Nu
Love Again;Dua Lipa;8078512; 40.392,56  USD ;04.03.2021;23.09.2021;3:22;ELECTRONIC;Marea Britanie;Nu
Chega E Senta - Ao Vivo;John Amplificado;8043658; 40.218,29  USD ;21.04.2021;23.09.2021;3:30;R&B/SOUL;Brazilia;Nu
favorite crime;Olivia Rodrigo;7929613; 39.648,07  USD ;30.05.2021;23.09.2021;3:35;ALTERNATIVE;SUA;Nu
Butter (with Megan Thee Stallion);BTS;7911481; 39.557,41  USD ;27.08.2021;23.09.2021;2:44;K-POP;Korea de Sud;Da
Loco;Justin Quiles;7836290; 39.181,45  USD ;23.04.2021;23.09.2021;4:47;K-POP;SUA;Nu
double take;dhruv;7754498; 38.772,49  USD ;29.07.2021;23.09.2021;3:31;LATIN;India;Nu
Save Your Tears;The Weeknd;7644771; 38.223,86  USD ;13.01.2021;23.09.2021;4:03;ELECTRONIC;Canada;Nu
"Raataan Lambiyan (From ""Shershaah"")";Tanishk Bagchi;7598552; 37.992,76  USD ;22.04.2021;23.09.2021;3:32;HIP-HOP/RAP;India;Nu
Chosen (with Ty Dolla $ign);Blxst;7559040; 37.795,20  USD ;12.07.2021;23.09.2021;4:58;ALTERNATIVE;SUA;Da
Meet Me At Our Spot;THE ANXIETY;7521280; 37.606,40  USD ;19.04.2021;23.09.2021;3:02;HIP-HOP/RAP;SUA;Nu
Poblado - Remix;J Balvin;7429298; 37.146,49  USD ;30.04.2021;23.09.2021;2:53;ELECTRONIC;Columbia;Nu
Ley Seca;Jhay Cortez;7428549; 37.142,75  USD ;04.04.2021;23.09.2021;4:56;LATIN URBAN;Puerto Rico;Nu
Run;OneRepublic;7346103; 36.730,52  USD ;27.03.2021;23.09.2021;2:21;R&B/SOUL;SUA;Nu
Jonah;Kanye West;7326845; 36.634,23  USD ;29.08.2021;23.09.2021;3:15;HIP-HOP/RAP;SUA;Nu
ArranhÃ£o - Ao Vivo;Henrique & Juliano;7291791; 36.458,96  USD ;17.02.2021;23.09.2021;2:49;LATIN URBAN;Brazilia;Nu
edamame (with Rich Brian);bbno$;7264709; 36.323,55  USD ;24.04.2020;23.09.2021;2:10;R&B/SOUL;Canada;Da
RAPSTAR;Polo G;7181875; 35.909,38  USD ;18.02.2021;23.09.2021;2:25;RHYTHM & BLUES;SUA;Nu
Believer;Imagine Dragons;7174720; 35.873,60  USD ;23.06.2021;23.09.2021;3:50;HIP-HOP/RAP;SUA;Nu
No Child Left Behind;Kanye West;7132248; 35.661,24  USD ;29.08.2021;23.09.2021;2:58;HIP-HOP/RAP;SUA;Nu
Heaven and Hell;Kanye West;7103738; 35.518,69  USD ;29.08.2021;23.09.2021;2:25;HIP-HOP/RAP;SUA;Nu
Heartbreak Anniversary;Giveon;7102072; 35.510,36  USD ;07.09.2021;23.09.2021;2:17;ALTERNATIVE;SUA;Nu
I Still Have Faith In You;ABBA;7059474; 35.297,37  USD ;07.07.2021;23.09.2021;2:45;POP;Suedia;Nu
"Ranjha (From ""Shershaah"")";Jasleen Royal;7045385; 35.226,93  USD ;13.06.2021;23.09.2021;3:46;POP;India;Nu
Rumors (with Cardi B);Lizzo;6936068; 34.680,34  USD ;01.08.2021;23.09.2021;2:03;ROCK;SUA;Da
RolÃª;TarcÃ­sio do Acordeon;6924282; 34.621,41  USD ;23.06.2017;23.09.2021;3:18;RHYTHM & BLUES;Brazilia;Nu
lovely (with Khalid);Billie Eilish;6909297; 34.546,49  USD ;08.07.2021;23.09.2021;4:02;LATIN URBAN;SUA;Da
Wants and Needs (with Lil Baby);Drake;6880532; 34.402,66  USD ;04.07.2021;23.09.2021;3:28;HIP-HOP/RAP;Canada;Da
Dance Monkey;Tones And I;6865146; 34.325,73  USD ;31.07.2021;23.09.2021;3:40;HIP-HOP/RAP;Australia;Nu
Quer Voar;MatuÃª;6859659; 34.298,30  USD ;31.03.2021;23.09.2021;2:08;HIP-HOP/RAP;Brazilia;Nu
Circles;Post Malone;6850165; 34.250,83  USD ;18.02.2021;23.09.2021;3:26;POP;SUA;Nu
positions;Ariana Grande;6819373; 34.096,87  USD ;21.04.2021;23.09.2021;3:37;POP;SUA;Nu
Before You Go;Lewis Capaldi;6744648; 33.723,24  USD ;30.01.2021;23.09.2021;3:15;HIP-HOP/RAP;Scoția;Nu
VocÃª Beberia Ou NÃ£o Beberia?;ZÃ© Neto & Cristiano;6665219; 33.326,10  USD ;04.08.2021;23.09.2021;4:01;POP;Puerto Rico;Nu
Arcade;Duncan Laurence;6636958; 33.184,79  USD ;17.04.2021;23.09.2021;3:49;HIP-HOP/RAP;Olanda;Nu
Ok Ok;Kanye West;6632754; 33.163,77  USD ;29.08.2021;23.09.2021;3:23;HIP-HOP/RAP;SUA;Nu
You Right;Doja Cat;6625929; 33.129,65  USD ;07.03.2021;23.09.2021;2:36;LATIN URBAN;SUA;Nu
A-O-K;Tai Verdes;6613583; 33.067,92  USD ;04.08.2021;23.09.2021;2:25;HIP-HOP/RAP;SUA;Nu
Perfect;Ed Sheeran;6549237; 32.746,19  USD ;13.02.2021;23.09.2021;3:21;POP;Marea Britanie;Nu
HOT DEMON B!TCHES NEAR U ! ! !;CORPSE;6548822; 32.744,11  USD ;23.05.2021;23.09.2021;6:21;HIP-HOP/RAP;SUA;Nu
Beautiful Mistakes (with Megan Thee Stallion);Maroon 5;6544280; 32.721,40  USD ;25.05.2021;23.09.2021;3:23;HIP-HOP/RAP;SUA;Da
Heartbreak Anthem (with David Guetta & Little Mix);Galantis;6481155; 32.405,78  USD ;24.05.2021;23.09.2021;5:39;LATIN URBAN;Suedia;Da
Visiting Hours;Ed Sheeran;6479386; 32.396,93  USD ;27.02.2021;23.09.2021;3:32;POP;Marea Britanie;Nu
telepatÃ­a;Kali Uchis;6467218; 32.336,09  USD ;31.01.2021;23.09.2021;5:33;HIP-HOP/RAP;SUA;Nu
WITHOUT YOU;The Kid LAROI;6422603; 32.113,02  USD ;16.02.2021;23.09.2021;2:44;LATIN URBAN;Australia;Da
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;6408406; 32.042,03  USD ;25.09.2021;23.09.2021;2:58;LATIN URBAN;SUA;Nu
ALMAS GEMELAS;Myke Towers;6401330; 32.006,65  USD ;04.05.2021;23.09.2021;4:33;POP;Puerto Rico;Nu
Levitating;Dua Lipa;6362178; 31.810,89  USD ;29.04.2021;23.09.2021;3:23;LATIN URBAN;Marea Britanie;Nu
Ficha Limpa;Gusttavo Lima;6356257; 31.781,29  USD ;30.05.2021;23.09.2021;3:32;LATIN URBAN;Brazilia;Nu
Pure Souls;Kanye West;6354920; 31.774,60  USD ;29.08.2021;23.09.2021;5:58;HIP-HOP/RAP;SUA;Nu
MORENA;Luan Santana;6352131; 31.760,66  USD ;04.06.2021;23.09.2021;2:45;HIP-HOP/RAP;Brazilia;Nu
Shape of You;Ed Sheeran;6343313; 31.716,57  USD ;23.04.2021;23.09.2021;2:35;LATIN URBAN;Marea Britanie;Nu
brutal;Olivia Rodrigo;6338064; 31.690,32  USD ;31.05.2021;23.09.2021;2:53;HIP-HOP/RAP;SUA;Nu
Wow Wow (with Becky G);Maria Becerra;6326987; 31.634,94  USD ;06.07.2021;23.09.2021;3:21;HIP-HOP/RAP;Argentina;Da
Where Are You Now;Lost Frequencies;6277466; 31.387,33  USD ;06.09.2019;23.09.2021;2:23;POP;SUA;Nu
Head & Heart (with MNEK);Joel Corry;6222805; 31.114,03  USD ;14.07.2021;23.09.2021;2:27;LATIN URBAN;Marea Britanie;Da
Smells Like Teen Spirit;Nirvana;6197901; 30.989,51  USD ;13.05.2021;23.09.2021;3:35;RHYTHM & BLUES;SUA;Nu
Remote Control;Kanye West;6168953; 30.844,77  USD ;29.08.2021;23.09.2021;3:18;HIP-HOP/RAP;SUA;Nu
SeÃ±orita;Shawn Mendes;6057587; 30.287,94  USD ;09.04.2021;23.09.2021;8:58;K-POP;Canada;Nu
Fiel - Remix;Wisin;6025166; 30.125,83  USD ;18.04.2021;23.09.2021;3:35;HIP-HOP/RAP;Puerto Rico;Nu
2/Catorce;Rauw Alejandro;6011124; 30.055,62  USD ;15.09.2021;23.09.2021;4:12;DANCE;Puerto Rico;Nu
Here's Your Perfect;Jamie Miller;6008272; 30.041,36  USD ;23.05.2021;23.09.2021;5:58;ROCK;Țara Galilor;Nu
Donâ€™t Go (with Justin Bieber & Don Toliver);Skrillex;6007138; 30.035,69  USD ;19.08.2021;23.09.2021;4:57;ALTERNATIVE;SUA;Da
Heather;Conan Gray;5999762; 29.998,81  USD ;05.05.2021;23.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
Wrecked;Imagine Dragons;5989165; 29.945,83  USD ;02.05.2021;23.09.2021;2:54;ROCK;SUA;Nu
Mon Amour - Remix;zzoilo;5971363; 29.856,82  USD ;07.08.2021;23.09.2021;3:21;LATIN URBAN;Columbia;Nu
Bohemian Rhapsody - Remastered 2011;Queen;5965071; 29.825,36  USD ;15.06.2021;23.09.2021;3:22;HIP-HOP/RAP;Marea Britanie;Nu
EL MAKINON;KAROL G;5964873; 29.824,37  USD ;23.06.2021;23.09.2021;3:07;POP;Columbia;Nu
Gangsta's Paradise;Coolio;5960573; 29.802,87  USD ;27.02.2021;23.09.2021;3:40;K-POP;SUA;Nu
Your Love (9PM);ATB;5959804; 29.799,02  USD ;18.01.2021;23.09.2021;2:44;HIP-HOP/RAP;Germania;Nu
The Nights;Avicii;5922052; 29.610,26  USD ;21.05.2021;23.09.2021;5:21;LATIN URBAN;Suedia;Nu
you broke me first;Tate McRae;5893006; 29.465,03  USD ;05.08.2021;23.09.2021;2:53;LATIN;Canada;Nu
Jugaste y SufrÃ­;Eslabon Armado;5884152; 29.420,76  USD ;19.02.2021;23.09.2021;2:30;LATIN;Columbia;Nu
Botella Tras Botella;Gera MX;5880549; 29.402,75  USD ;23.05.2021;23.09.2021;4:02;HIP-HOP/RAP;Mexic;Nu
Talking to the Moon;Bruno Mars;5840592; 29.202,96  USD ;04.06.2021;23.09.2021;3:41;POP;SUA;Nu
24;Kanye West;5834938; 29.174,69  USD ;29.08.2021;23.09.2021;3:17;HIP-HOP/RAP;SUA;Nu
Motley Crew;Post Malone;5832231; 29.161,16  USD ;12.01.2021;23.09.2021;3:58;ROCK;SUA;Nu
Lemonade (with Gunna, Don Toliver & NAV);Internet Money;5828495; 29.142,48  USD ;23.04.2021;23.09.2021;3:12;LATIN;SUA;Da
Daddy Issues;The Neighbourhood;5819986; 29.099,93  USD ;03.02.2021;23.09.2021;2:54;HIP-HOP/RAP;SUA;Nu
Junya;Kanye West;5817181; 29.085,91  USD ;09.08.2021;23.09.2021;2:27;HIP-HOP/RAP;SUA;Nu
Ela e Ela;ZÃ© Neto & Cristiano;5807138; 29.035,69  USD ;19.04.2021;23.09.2021;2:21;LATIN;Columbia;Nu
Rasputin;Majestic;5797954; 28.989,77  USD ;31.08.2021;23.09.2021;2:18;HIP-HOP/RAP;Marea Britanie;Nu
Loverboy;A-Wall;5796892; 28.984,46  USD ;06.08.2021;23.09.2021;2:53;LATIN URBAN;Australia;Nu
Goosebumps - Remix;Travis Scott;5766816; 28.834,08  USD ;05.08.2021;23.09.2021;2:55;HIP-HOP/RAP;SUA;Nu
Memories;Maroon 5;5737892; 28.689,46  USD ;12.07.2021;23.09.2021;3:23;POP;SUA;Nu
One Dance;Drake;5718647; 28.593,24  USD ;14.07.2019;23.09.2021;2:45;HIP-HOP/RAP;Canada;Nu
Riptide;Vance Joy;5710298; 28.551,49  USD ;17.02.2021;23.09.2021;2:53;LATIN URBAN;Australia;Nu
Shallow;Lady Gaga;5682156; 28.410,78  USD ;29.08.2021;23.09.2021;4:47;LATIN URBAN;SUA;Nu
goosebumps;Travis Scott;5626129; 28.130,65  USD ;20.05.2021;23.09.2021;2:21;DANCE;SUA;Nu
Roses - Imanbek Remix;SAINt JHN;5624497; 28.122,49  USD ;03.06.2021;23.09.2021;3:28;HIP-HOP/RAP;SUA;Nu
Never Going Home;Kungs;5622532; 28.112,66  USD ;13.01.2021;23.09.2021;3:49;LATIN;Franța;Nu
God Breathed;Kanye West;5618339; 28.091,70  USD ;29.08.2021;23.09.2021;5:33;HIP-HOP/RAP;SUA;Nu
Another Love;Tom Odell;5574395; 27.871,98  USD ;30.03.2021;23.09.2021;3:03;HIP-HOP/RAP;Marea Britanie;Nu
Counting Stars;OneRepublic;5568753; 27.843,77  USD ;17.09.2021;23.09.2021;2:58;ROCK;SUA;Nu
Every Breath You Take;The Police;5567519; 27.837,60  USD ;30.06.2021;23.09.2021;3:58;HIP-HOP/RAP;Marea Britanie;Nu
Wake Me Up;Avicii;5554738; 27.773,69  USD ;01.03.2021;23.09.2021;3:18;HIP-HOP/RAP;Suedia;Nu
Yellow;Coldplay;5526358; 27.631,79  USD ;29.08.2021;23.09.2021;4:57;RHYTHM & BLUES;Marea Britanie;Nu
Dreams - 2004 Remaster;Fleetwood Mac;5519131; 27.595,66  USD ;04.03.2021;23.09.2021;2:36;HIP-HOP/RAP;Marea Britanie;Nu
Take Me To Church;Hozier;5505935; 27.529,68  USD ;30.07.2021;23.09.2021;4:03;POP;Irlanda;Nu
Say You Won't Let Go;James Arthur;5474110; 27.370,55  USD ;21.09.2021;23.09.2021;3:46;HIP-HOP/RAP;Marea Britanie;Nu
Baby Me Atende;Matheus Fernandes;5465605; 27.328,03  USD ;29.04.2021;23.09.2021;2:21;LATIN URBAN;Columbia;Nu
Hold On;Justin Bieber;5464809; 27.324,05  USD ;15.02.2021;23.09.2021;3:31;RHYTHM & BLUES;Canada;Nu
7 rings;Ariana Grande;5461991; 27.309,96  USD ;22.05.2021;23.09.2021;2:25;R&B/SOUL;SUA;Nu
Fiel;Los Legendarios;5411385; 27.056,93  USD ;11.02.2021;23.09.2021;3:32;LATIN URBAN;Puerto Rico;Nu
Remember (and David Guetta);Becky Hill;5409053; 27.045,27  USD ;04.06.2021;23.09.2021;3:28;HIP-HOP/RAP;Marea Britanie;Nu
STAY (with Justin Bieber);The Kid LAROI;55885730; 279.428,65  USD ;09.07.2021;30.09.2021;2:21;POP;Australia;Da
INDUSTRY BABY (with Jack Harlow);Lil Nas X;47510601; 237.553,01  USD ;23.07.2021;30.09.2021;3:32;HIP-HOP/RAP;SUA;Da
My Universe;Coldplay;32790116; 163.950,58  USD ;23.05.2021;30.09.2021;3:23;ROCK;Marea Britanie;Nu
Heat Waves;Glass Animals;31067813; 155.339,07  USD ;07.08.2020;30.09.2021;3:58;POP;Marea Britanie;Nu
Pepas;Farruko;29289287; 146.446,44  USD ;08.12.2021;30.09.2021;4:47;LATIN URBAN;Puerto Rico;Nu
Bad Habits;Ed Sheeran;29024050; 145.120,25  USD ;11.06.2021;30.09.2021;3:32;POP;Marea Britanie;Nu
Woman;Doja Cat;27995514; 139.977,57  USD ;27.06.2021;30.09.2021;2:25;POP;SUA;Nu
Shivers;Ed Sheeran;26022703; 130.113,52  USD ;29.04.2021;30.09.2021;2:32;POP;Marea Britanie;Nu
THATS WHAT I WANT;Lil Nas X;25839821; 129.199,11  USD ;30.04.2021;30.09.2021;4:21;POP;SUA;Nu
Beggin';Måneskin;24387323; 121.936,62  USD ;08.12.2017;30.09.2021;3:31;ROCK;Italia;Nu
good 4 u;Olivia Rodrigo;23551560; 117.757,80  USD ;21.05.2021;30.09.2021;2:58;POP;SUA;Nu
MONTERO (Call Me By Your Name);Lil Nas X;23544094; 117.720,47  USD ;17.09.2021;30.09.2021;2:17;POP;SUA;Nu
Way 2 Sexy (with Future & Young Thug);Drake;20625145; 103.125,73  USD ;19.02.2021;30.09.2021;3:56;HIP-HOP/RAP;Canada;Da
Need To Know;Doja Cat;20494448; 102.472,24  USD ;24.06.2021;30.09.2021;3:30;POP;SUA;Nu
Happier Than Ever;Billie Eilish;19975909; 99.879,55  USD ;30.07.2021;30.09.2021;4:58;ALTERNATIVE;SUA;Nu
love nwantiti (ah ah ah);CKay;19974579; 99.872,90  USD ;21.05.2021;30.09.2021;2:26;AFROBEATS;Africa;Nu
Cold Heart - PNAU Remix;Elton John;19485554; 97.427,77  USD ;13.08.2021;30.09.2021;3:22;POP;Marea Britanie;Nu
Life Goes On;Oliver Tree;19268564; 96.342,82  USD ;01.01.2021;30.09.2021;3:01;POP;SUA;Nu
Kiss Me More (with SZA);Doja Cat;18642369; 93.211,85  USD ;09.04.2021;30.09.2021;3:28;POP;SUA;Da
Fair Trade (with Travis Scott);Drake;16714273; 83.571,37  USD ;25.05.2021;30.09.2021;3:34;HIP-HOP/RAP;Canada;Da
love nwantiti (with Dj Yo! & AX'EL) - Remix;CKay;16305632; 81.528,16  USD ;29.08.2021;30.09.2021;4:21;AFROBEATS;Africa;Da
Yonaguni;Bad Bunny;16199560; 80.997,80  USD ;04.06.2021;30.09.2021;3:26;LATIN URBAN;Puerto Rico;Nu
Todo De Ti;Rauw Alejandro;15778535; 78.892,68  USD ;22.05.2021;30.09.2021;3:19;LATIN URBAN;Puerto Rico;Nu
Knife Talk (with 21 Savage ft. Project Pat);Drake;15077355; 75.386,78  USD ;27.04.2021;30.09.2021;3:53;HIP-HOP/RAP;Canada;Da
Volví;Aventura;15058863; 75.294,32  USD ;03.08.2021;30.09.2021;2:32;POP;Suedia;Nu
traitor;Olivia Rodrigo;14875224; 74.376,12  USD ;21.05.2021;30.09.2021;3:49;POP;SUA;Nu
Levitating (with DaBaby);Dua Lipa;14800239; 74.001,20  USD ;27.03.2020;30.09.2021;3:23;POP;Marea Britanie;Da
LALISA;LISA;14488602; 72.443,01  USD ;02.03.2021;30.09.2021;3:20;HIP-HOP/RAP;Tailanda;Nu
In Da Getto;J Balvin;14189564; 70.947,82  USD ;02.07.2021;30.09.2021;2:10;LATIN URBAN;Columbia;Nu
Peaches (with Daniel Caesar & Giveon);Justin Bieber;13613633; 68.068,17  USD ;19.03.2021;30.09.2021;3:18;POP;Canada;Da
MONEY;LISA;13545135; 67.725,68  USD ;06.09.2021;30.09.2021;2:22;POP;Canada;Nu
Take My Breath;The Weeknd;13244817; 66.224,09  USD ;06.08.2021;30.09.2021;3:40;R&B/SOUL;Canada;Nu
Meet Me At Our Spot;THE ANXIETY;13161436; 65.807,18  USD ;31.05.2021;30.09.2021;3:45;POP;SUA;Nu
Qué Más Pues?;J Balvin;12845957; 64.229,79  USD ;28.05.2021;30.09.2021;3:37;LATIN URBAN;Columbia;Nu
Blinding Lights;The Weeknd;12810321; 64.051,61  USD ;29.11.2019;30.09.2021;3:21;R&B/SOUL;Canada;Nu
Girls Want Girls (with Lil Baby);Drake;12790468; 63.952,34  USD ;12.06.2021;30.09.2021;3:34;HIP-HOP/RAP;Canada;Da
Hurricane;Kanye West;12717295; 63.586,48  USD ;08.08.2021;30.09.2021;4:03;HIP-HOP/RAP;SUA;Nu
I WANNA BE YOUR SLAVE;Måneskin;12345473; 61.727,37  USD ;19.03.2021;30.09.2021;2:53;ROCK;Italia;Nu
